"geo_type";"region";"transportation_type";"alternative_name";"sub-region";"country";"fecha";"tasa"
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-14;16,39
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-15;18,17
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-16;26,13
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-17;26,24
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-18;26,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-19;28,83
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-20;24,91
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-21;16,33
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-22;22,97
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-23;22,98
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-24;23,59
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-25;25,25
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-26;26,1
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-27;22,44
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-28;17,41
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-29;22,63
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-30;20,59
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-01;15,67
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-02;18,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-03;19,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-04;19,02
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-05;14,77
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-06;19,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-07;19,83
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-08;24,85
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-09;18,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-10;19,32
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-11;22,65
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-12;15,84
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-13;22,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-14;23,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-15;22,61
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-16;24,11
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-17;28,34
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-18;23,54
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-19;25,26
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-20;34,2
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-21;32,37
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-22;30,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-23;27,62
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-24;31,88
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-25;30,95
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-26;27,37
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-27;31,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-28;34
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-29;35,03
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-30;35,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-07-31;34,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-01;34,78
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-02;25,88
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-03;33,78
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-04;40,66
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-05;38,3
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-06;31,49
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-07;32,33
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-08;35,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-09;21,33
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-10;33,89
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-11;35,16
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-12;36,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-13;38,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-14;42,8
